category,Male,Female
1,2413,2549
2,1124,1151
3,2304,2358
4,1822,1961
5,6380,7271
6,3983,4472
7,1480,1487
8,5829,6297
9,1727,1837
10,2144,2468
11,7904,9264
12,1468,1561
13,4167,4971
14,2286,2517
15,12845,14596
16,6835,7830
17,7509,8403
18,2072,2507
19,2415,2898
20,1703,1723
